dataset,data_family,scenario,gcm,rcm,variant,rank,year,hwmid_sum,hwmid_method,country_cells,countries,source_file_count,scenario_file_count,reference_file_count,source_inventory_name_size_sha256,available_year_start,available_year_end,rank_year_start,rank_year_end
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CORDEX-CMIP6,SSP585,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,6,2092,142180.72,russo2015-noleap365-v1,6115,Germany+France,151,86,32,811400817cfc50eb3d2554d8699241f1cb4dc2dc0943e9a8f95f2af0b5f16dec,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CORDEX-CMIP6,SSP585,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,7,2067,137608.12,russo2015-noleap365-v1,6115,Germany+France,151,86,32,811400817cfc50eb3d2554d8699241f1cb4dc2dc0943e9a8f95f2af0b5f16dec,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CORDEX-CMIP6,SSP585,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,8,2075,134894.73,russo2015-noleap365-v1,6115,Germany+France,151,86,32,811400817cfc50eb3d2554d8699241f1cb4dc2dc0943e9a8f95f2af0b5f16dec,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CORDEX-CMIP6,SSP585,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,9,2093,133626.95,russo2015-noleap365-v1,6115,Germany+France,151,86,32,811400817cfc50eb3d2554d8699241f1cb4dc2dc0943e9a8f95f2af0b5f16dec,1950,2100,2015,
CORDEX-CMIP6 CNRM-ESM2-1 / ICON-CLM-202407-1-1 SSP585,CORDEX-CMIP6,SSP585,CNRM-ESM2-1,ICON-CLM-202407-1-1,r1i1p1f2,10,2088,132916.95,russo2015-noleap365-v1,6115,Germany+France,151,86,32,811400817cfc50eb3d2554d8699241f1cb4dc2dc0943e9a8f95f2af0b5f16dec,1950,2100,2015,
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,1,2014,61565.44,russo2015-noleap365-v1,6115,Germany+France,65,65,0,92b76c29be2517743c0e6e21b5fb95e45a2bf1cab709d5cfc8e8c10e2c3d498f,1950,2014,1950,2014.0
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,2,1961,37839.125,russo2015-noleap365-v1,6115,Germany+France,65,65,0,92b76c29be2517743c0e6e21b5fb95e45a2bf1cab709d5cfc8e8c10e2c3d498f,1950,2014,1950,2014.0
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,3,1987,30621.066,russo2015-noleap365-v1,6115,Germany+France,65,65,0,92b76c29be2517743c0e6e21b5fb95e45a2bf1cab709d5cfc8e8c10e2c3d498f,1950,2014,1950,2014.0
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,4,1954,25387.344,russo2015-noleap365-v1,6115,Germany+France,65,65,0,92b76c29be2517743c0e6e21b5fb95e45a2bf1cab709d5cfc8e8c10e2c3d498f,1950,2014,1950,2014.0
CORDEX-CMIP6 MPI-ESM1-2-HR / ICON-CLM-202407-1-1 HISTORICAL,CORDEX-CMIP6,HISTORICAL,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,r1i1p1f1,5,2006,17838.21,russo2015-noleap365-v1,6115,Germany+France,65,65,0,92b76c29be2517743c0e6e21b5fb95e45a2bf1cab709d5cfc8e8c10e2c3d498f,1950,2014,1950,2014.0
