dataset,criterion,criterion_label,metric,rank,year,score,country_cells,aggregation,hwmid_method
RCP8.5 / MPI-CLM,hwmid_mean,Mean HWMId,hwmid,4,2098,23.355499267578125,1779,mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_mean,Mean HWMId,hwmid,5,2090,22.20493507385254,1779,mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_mean,Mean HWMId,hwmid,6,2072,20.972951889038086,1779,mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_mean,Mean HWMId,hwmid,7,2096,18.730623245239258,1779,mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_mean,Mean HWMId,hwmid,8,2086,17.43006134033203,1779,mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_mean,Mean HWMId,hwmid,9,2094,17.41352653503418,1779,mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_mean,Mean HWMId,hwmid,10,2100,16.356199264526367,1779,mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_max,Maximum grid-cell HWMId,hwmid,1,2086,293.5682678222656,1779,max,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_max,Maximum grid-cell HWMId,hwmid,2,2090,289.0989990234375,1779,max,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_max,Maximum grid-cell HWMId,hwmid,3,2099,242.9600372314453,1779,max,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_max,Maximum grid-cell HWMId,hwmid,4,2098,241.98587036132812,1779,max,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_max,Maximum grid-cell HWMId,hwmid,5,2096,236.19097900390625,1779,max,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_max,Maximum grid-cell HWMId,hwmid,6,2095,233.73373413085938,1779,max,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_max,Maximum grid-cell HWMId,hwmid,7,2082,218.3335723876953,1779,max,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_max,Maximum grid-cell HWMId,hwmid,8,2092,207.50592041015625,1779,max,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_max,Maximum grid-cell HWMId,hwmid,9,2089,198.7726287841797,1779,max,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,hwmid_max,Maximum grid-cell HWMId,hwmid,10,2088,175.822509765625,1779,max,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,1,2092,21.082165652144734,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,2,2085,19.51909977827046,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,3,2082,18.18205161167374,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,4,2090,17.026591587200393,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,5,2098,16.773422382477182,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,6,2072,16.239261463534532,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,7,2086,14.662527289164709,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,8,2100,13.757287569130037,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,9,2089,13.141821249442266,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,duration_area_mean,Area-weighted heatwave duration,heatwave_duration,10,2095,12.826005518794096,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,1,2083,8.69555488726525,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,2,2085,8.654592658330182,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,3,2082,8.370546182966194,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,4,2096,7.869640538531797,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,5,2080,7.641490137074647,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,6,2094,7.593804647284138,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,7,2092,7.493279995410496,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,8,2072,7.485252551652997,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,9,2097,7.315743218473605,1779,area_weighted_mean,russo2015-noleap365-v1
RCP8.5 / MPI-CLM,tmax_anomaly_area_mean,Area-weighted annual maximum temperature anomaly,temp_anomaly,10,2098,7.227021257811822,1779,area_weighted_mean,russo2015-noleap365-v1
