dataset,weighting,rank,year,weighted_hwmid,weighted_countries
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,2,2019,5.68354346073061,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,3,2020,4.147640624843494,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,4,2015,4.129671148272053,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,5,2018,3.6027417045513084,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,6,2022,3.601522533141497,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,7,2025,3.398408723251356,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,8,2006,2.832687050635442,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,9,2023,2.5774317151960773,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
Historical / E-OBS,wind_offshore_tyndp2024_pemmdb_nt2040,10,1976,2.2024897733052025,Belgium+France+Germany+Italy+Netherlands+Poland+Spain
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,1,2003,7.981292472829011,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,2,2022,4.695825095085493,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,3,2019,4.49327626510638,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,4,2025,4.477907965892003,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,5,2015,4.462876467041196,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,6,2023,3.4411098507557805,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,7,2018,3.3393282208507324,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,8,2020,2.973648834376668,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,9,2012,2.4661754029569805,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_onshore_tyndp2024_pemmdb_nt2040,10,1994,2.413377634763658,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_tyndp2024_pemmdb_nt2040,1,2003,7.907505927852809,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_tyndp2024_pemmdb_nt2040,2,2019,4.894148790596935,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_tyndp2024_pemmdb_nt2040,3,2015,4.350655565605831,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_tyndp2024_pemmdb_nt2040,4,2022,4.327272695027787,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_tyndp2024_pemmdb_nt2040,5,2025,4.114341206047362,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_tyndp2024_pemmdb_nt2040,6,2018,3.4280437872777574,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_tyndp2024_pemmdb_nt2040,7,2020,3.3690399328457694,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_tyndp2024_pemmdb_nt2040,8,2023,3.1502299233868736,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
Historical / E-OBS,wind_tyndp2024_pemmdb_nt2040,9,2006,2.520778532715424,Austria+Belgium+Czechia+France+Germany+Italy+Luxembourg+Netherlands+Poland+Spain+Switzerland
